"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"LRV22017-hlb27017-Sunday-01",0,0,0,0,0,0,1,20170326,20170618
"BUS12017-htt17016-Saturday-02",0,0,0,0,0,1,0,20170318,20170318
"BUS22017-hbf27011-Weekday-02",1,1,1,1,1,0,0,20170327,20170623
"PRIV22017-hpj27011-Weekday-01",1,1,1,1,1,0,0,20170327,20170623
"RTL12017-hmo17017-Sunday-01",0,0,0,0,0,0,1,20170319,20170319
"RTL12017-hmb17016-Saturday-01",0,0,0,0,0,1,0,20170318,20170318
"BUS12017-hbl17016-Saturday-02",0,0,0,0,0,1,0,20170318,20170318
"BUS12017-htt17011-Weekday-02",1,1,1,1,1,0,0,20170315,20170324
"BUS22017-hbq27ns1-Weekday-02",1,1,1,1,1,0,0,20170417,20170421
"BUS22017-hbt27017-Sunday-02",0,0,0,0,0,0,1,20170326,20170618
"BUS22017-hbl27ns1-Weekday-02",1,1,1,1,1,0,0,20170417,20170421
"BUS12017-hbc17011-Weekday-02",1,1,1,1,1,0,0,20170315,20170324
"BUS12017-hbc17017-Sunday-02",0,0,0,0,0,0,1,20170319,20170319
"BUS22017-hbc27011-Weekday-02",1,1,1,1,1,0,0,20170327,20170623
"BUS22017-hba27ns1-Weekday-02",1,1,1,1,1,0,0,20170417,20170421
"BUS22017-hbq27017-Sunday-02",0,0,0,0,0,0,1,20170326,20170618
"BUS12017-hbb17017-Sunday-02",0,0,0,0,0,0,1,20170319,20170319
"BUS12017-hbs17016-Saturday-02",0,0,0,0,0,1,0,20170318,20170318
"LRV22017-hlb27bk6-Saturday-01",0,0,0,0,0,1,0,20170617,20170617
"RTL22017-hmb27016-Saturday-01",0,0,0,0,0,1,0,20170325,20170610
"LRV22017-hlb27016-Saturday-01",0,0,0,0,0,1,0,20170325,20170610
"Boat-F1-WeekendGrape",0,0,0,0,0,1,1,20170529,20170618
"CR-Weekday-SouthSide",1,1,1,1,1,0,0,20170315,20170623
"RTL22017-hmo27me7-Sunday-01",1,0,0,0,0,0,0,20170529,20170529
